date,pm25
2020-06-01T00:00:00.000Z,1.12
2020-06-02T00:00:00.000Z,1.27
2020-06-03T00:00:00.000Z,1.52
2020-06-04T00:00:00.000Z,1.67
2020-06-05T00:00:00.000Z,1.86
2020-06-06T00:00:00.000Z,1.48
2020-06-07T00:00:00.000Z,1.3
2020-06-08T00:00:00.000Z,5.9
2020-06-09T00:00:00.000Z,1.95
2020-06-10T00:00:00.000Z,0.97
2020-06-11T00:00:00.000Z,2.02
2020-06-12T00:00:00.000Z,1.6
2020-06-13T00:00:00.000Z,1.3
2020-06-14T00:00:00.000Z,0.7
2020-06-15T00:00:00.000Z,1.3
2020-06-16T00:00:00.000Z,2.0
2020-06-17T00:00:00.000Z,2.29
2020-06-18T00:00:00.000Z,1.25
2020-06-19T00:00:00.000Z,0.9
2020-06-20T00:00:00.000Z,0.9
2020-06-21T00:00:00.000Z,1.05
2020-06-22T00:00:00.000Z,1.0
2020-06-23T00:00:00.000Z,1.25
2020-06-24T00:00:00.000Z,2.0
2020-06-25T00:00:00.000Z,2.72
2020-06-26T00:00:00.000Z,2.7
2020-06-27T00:00:00.000Z,2.2
2020-06-28T00:00:00.000Z,3.08
2020-06-29T00:00:00.000Z,2.27
2020-06-30T00:00:00.000Z,3.08
2020-07-01T00:00:00.000Z,3.08
2020-07-02T00:00:00.000Z,4.9
2020-07-03T00:00:00.000Z,2.04
2020-07-04T00:00:00.000Z,1.52
2020-07-05T00:00:00.000Z,1.44
2020-07-06T00:00:00.000Z,1.8
2020-07-07T00:00:00.000Z,1.5
2020-07-08T00:00:00.000Z,1.23
2020-07-09T00:00:00.000Z,1.48
2020-07-10T00:00:00.000Z,2.2
2020-07-11T00:00:00.000Z,3.55
2020-07-12T00:00:00.000Z,1.42
2020-07-13T00:00:00.000Z,1.0
2020-07-14T00:00:00.000Z,1.2
2020-07-15T00:00:00.000Z,1.3
2020-07-16T00:00:00.000Z,2.62
2020-07-17T00:00:00.000Z,2.6
2020-07-18T00:00:00.000Z,0.8
2020-07-19T00:00:00.000Z,0.77
2020-07-20T00:00:00.000Z,1.8
2020-07-21T00:00:00.000Z,2.4
2020-07-22T00:00:00.000Z,5.72
2020-07-23T00:00:00.000Z,2.8
2020-07-24T00:00:00.000Z,3.5
2020-07-25T00:00:00.000Z,2.59
2020-07-26T00:00:00.000Z,1.1
2020-07-27T00:00:00.000Z,1.7
2020-07-28T00:00:00.000Z,2.65
2020-07-29T00:00:00.000Z,4.5
2020-07-30T00:00:00.000Z,5.2
2020-07-31T00:00:00.000Z,6.87
2020-08-01T00:00:00.000Z,6.65
2020-08-02T00:00:00.000Z,6.47
2020-08-03T00:00:00.000Z,3.7
2020-08-04T00:00:00.000Z,0.9
2020-08-05T00:00:00.000Z,1.17
2020-08-06T00:00:00.000Z,2.47
2020-08-07T00:00:00.000Z,4.34
2020-08-08T00:00:00.000Z,4.38
2020-08-09T00:00:00.000Z,4.87
2020-08-10T00:00:00.000Z,5.85
2020-08-11T00:00:00.000Z,7.28
2020-08-12T00:00:00.000Z,6.95
2020-08-13T00:00:00.000Z,7.8
2020-08-14T00:00:00.000Z,5.54
2020-08-15T00:00:00.000Z,7.22
2020-08-16T00:00:00.000Z,4.92
2020-08-17T00:00:00.000Z,3.78
2020-08-18T00:00:00.000Z,3.1
2020-08-19T00:00:00.000Z,3.3
2020-08-20T00:00:00.000Z,2.29
2020-08-21T00:00:00.000Z,2.1
2020-08-22T00:00:00.000Z,1.9
2020-08-23T00:00:00.000Z,2.67
2020-08-24T00:00:00.000Z,2.25
2020-08-25T00:00:00.000Z,1.45
2020-08-26T00:00:00.000Z,2.47
2020-08-27T00:00:00.000Z,3.66
2020-08-28T00:00:00.000Z,1.8
2020-08-29T00:00:00.000Z,2.47
2020-08-30T00:00:00.000Z,1.27
2020-08-31T00:00:00.000Z,1.45
2020-09-01T00:00:00.000Z,0.7
2020-09-02T00:00:00.000Z,1.3
2020-09-03T00:00:00.000Z,1.67
2020-09-04T00:00:00.000Z,1.3
2020-09-05T00:00:00.000Z,1.52
2020-09-06T00:00:00.000Z,1.17
2020-09-07T00:00:00.000Z,2.5
2020-09-08T00:00:00.000Z,4.43
